CityMunRes,CityMunCoord
DUMAGUETE CITY (CAPITAL),"14.651068321895105, 121.03147238313927"
PANGLAO,"9.5791851, 123.7452642"
CAINTA,"14.5780161, 121.1163072"
SANTO TOMAS,"14.1078443, 121.1453304"
CITY OF MAKATI,"14.5567949, 121.0211226"
CITY OF MARIKINA,"14.630753, 121.09778851063552"
PASAY CITY,"6.9406291, 122.0390242"
CITY OF SAN JUAN,"14.6044363, 121.0299469"
CITY OF PASIG,"14.5605166, 121.0764343"
QUEZON CITY,"14.6510546, 121.0486254"
IMUS CITY,"14.42856915, 120.9358995718025"
CITY OF MANILA,"14.5904492, 120.9803621"
CITY OF SAN JOSE DEL MONTE,"14.7857438, 121.07575134259704"
LIBMANAN,"13.6960365, 123.0612123"
CAPAS,"15.3360344, 120.589583"
SURIGAO CITY (CAPITAL),"14.7490009, 121.0675339"
TAYASAN,"9.9225873, 123.1715067"
CITY OF LAS PIÑAS,"14.41754225, 121.01055016442643"
CALOOCAN CITY,"14.651348, 120.9724002"
CITY OF MANDALUYONG,"14.56878165, 121.03543266084853"
BATANGAS CITY (CAPITAL),"14.620583354215835, 120.98384670149858"
CITY OF PARAÑAQUE,"14.491017450000001, 120.9897140739387"
ORANI,"14.8012181, 120.5362038"
PORAC,"15.0726482, 120.5430211"
TAGUIG CITY,"14.531545900000001, 121.0665255513844"
CITY OF DASMARIÑAS,"14.3270819, 120.9370871"
CITY OF ANTIPOLO (CAPITAL),"14.6240871, 120.97102319999999"
LIPA CITY,"13.9416478, 121.1380734"
CITY OF SAN FERNANDO (CAPITAL),"15.067632, 120.648920"
CITY OF SANTA ROSA,"14.3146042, 121.1137004"
FLORIDABLANCA,"14.9745982, 120.5277236"
SILANG,"14.223624, 120.9741497"
GUIGUINTO,"14.828214, 120.878786"
BACOOR CITY,"14.44458075, 120.95028949981072"
CITY OF MUNTINLUPA,"14.3892634, 121.0449101"
BALIUAG,"14.9542259, 120.9009172"
CEBU CITY (CAPITAL),"14.667730477295706, 120.99884633601182"
MARAWI CITY (CAPITAL),"14.7485591, 121.0682355"
TANZA,"14.400675, 120.8572845"
TAYTAY,"14.5587089, 121.1359659"
CITY OF VALENZUELA,"14.6916903, 120.9694534"
PUERTO PRINCESA CITY (CAPITAL),"9.7638, 118.7473"
PATEROS,"14.5447555, 121.067134"
GUIMBAL,"10.6615215, 122.3228567"
ROSARIO,"13.8454343, 121.2063502"
SAN MATEO,"14.6951949, 121.1174024"
TUGUEGARAO CITY (CAPITAL),"17.6132, 121.7270"
CABANATUAN CITY,"15.4846019, 120.97577980460778"
SAN ISIDRO,"9.8595624, 123.9562221"
CABA,"16.4318378, 120.3456178"
CITY OF TANAUAN,"14.0853283, 121.1528222"
SANTA MARIA,"14.8187993, 120.9607117"
SAN ILDEFONSO,"15.0781219, 120.9398068"
DAVAO CITY,"7.0648306, 125.6080623"
CITY OF GENERAL TRIAS,"14.386013, 120.8802597"
LIMAY,"14.5625242, 120.5949559"
BACOLOD CITY (CAPITAL),"14.647321349949216, 121.02926210430036"
CITY OF SAN PEDRO,"14.3639435, 121.056771"
NASUGBU,"14.0732606, 120.6326603"
PANDI,"14.874565350000001, 120.94705219573811"
CABUYAO CITY,"14.2795538, 121.1235712"
JALA-JALA,"14.638349796350239, 120.97535522292819"
RODRIGUEZ (MONTALBAN),"14.7324642, 121.1453418"
BULACAN,"15.0, 121.083333"
CITY OF CALAMBA,"14.2060217, 121.1556496"
BINANGONAN,"14.4647563, 121.1923358"
NAIC,"14.3191837, 120.764254"
CITY OF MALABON,"14.386013, 120.8802597"
CITY OF MALOLOS (CAPITAL),"14.8527, 120.8160"
SARIAYA,"13.9629837, 121.5243402"
ILIGAN CITY,"14.328436394589897, 121.03134717912805"
INDANG,"14.1958306, 120.8784148"
LUCENA CITY (CAPITAL),"14.76654115, 121.0721219391854"
ORION,"14.62157, 120.5772317"
GENERAL MAMERTO NATIVIDAD,"15.6030982, 121.0508107"
BOAC (CAPITAL),"13.3941, 121.8790"
CITY OF BIÑAN,"14.3388259, 121.0841826"
ZAMBOANGA CITY,"6.9046876, 122.0764868"
CARMONA,"14.3134763, 121.0573969"
ILOILO CITY (CAPITAL),"10.706899150000002, 122.56659327300615"
TORRIJOS,"13.3203645, 122.0859961"
BACOLOR,"14.9965611, 120.6513934"
COTABATO CITY,"7.2237628, 124.2467062"
CAGAYAN DE ORO CITY (CAPITAL),"14.4388021, 121.03029215000001"
LAMBAYONG (MARIANO MARCOS),"6.8013784, 124.6331173"
