ProvRes,ProvCoord
NEGROS ORIENTAL,"9.75, 123.0"
BOHOL,"9.833333, 124.1615579"
RIZAL,"14.65, 121.25"
BATANGAS,"13.9146826, 121.0867566"
NCR,"14.5736108, 121.0329706"
CAVITE,"14.2554073, 120.8671503"
BULACAN,"15.0, 121.083333"
CAMARINES SUR,"13.6428216, 123.3282338"
TARLAC,"15.4937252, 120.4964091"
SURIGAO DEL NORTE,"9.7022868, 125.5464831"
BATAAN,"14.6436031, 120.4657622"
PAMPANGA,"15.0519635, 120.6445398"
LAGUNA,"14.1696476, 121.3336526"
CEBU,"10.47, 123.83"
LANAO DEL SUR,"7.8776443, 124.3754759"
PALAWAN,"11.0798978, 120.93734215474105"
ILOILO,"10.9522168, 122.5799456"
CAGAYAN,"18.0, 121.833333"
NUEVA ECIJA,"15.583333, 121.0"
LA UNION,"16.5735957, 120.4089899"
DAVAO DEL SUR,"6.6983658, 125.3612135"
NEGROS OCCIDENTAL,"10.416667, 123.0"
QUEZON,"14.6510546, 121.0486254"
LANAO DEL NORTE,"7.9579723, 123.9021124"
MARINDUQUE,"13.416667, 121.95"
ZAMBOANGA DEL SUR,"7.9043, 123.3194"
COTABATO CITY (NOT A PROVINCE),"['7.2047, 124.2310']"
MISAMIS ORIENTAL,"8.6534807, 124.8235205"
SULTAN KUDARAT,"6.5556705, 124.3271496"
PANGASINAN,"15.916667, 120.333333"
BENGUET,"16.52, 120.69"
ZAMBALES,"15.23, 120.12"
ALBAY,"13.216667, 123.55"
ISABELA,"17.0, 122.0"
NUEVA VIZCAYA,"16.35, 121.13"
AKLAN,"11.6297894, 122.2481177"
ORIENTAL MINDORO,"13.2, 121.2"
OCCIDENTAL MINDORO,"13.0000021, 120.9166666"
AGUSAN DEL NORTE,"8.92, 125.46"
LEYTE,"10.95, 124.85"
ROMBLON,"12.5, 122.2"
DAVAO DEL NORTE,"7.6179228, 125.6832687"
DAVAO ORIENTAL,"7.166667, 126.333333"
ILOCOS SUR,"17.2, 120.5"
SOUTH COTABATO,"6.2855239, 124.9333096"
ILOCOS NORTE,"18.166667, 120.75"
ABRA,"17.58, 120.8"
CAPIZ,"11.3852987, 122.6377315"
SAMAR (WESTERN SAMAR),"12.0, 125.0"
MISAMIS OCCIDENTAL,"8.333333, 123.7"
MAGUINDANAO,"6.1014858, 125.1597744"
COTABATO (NORTH COTABATO),"6.9124358, 124.92476075821469"
CAMIGUIN,"9.1739753, 124.7256992"
DAVAO DE ORO,"7.45, 126.07"
ANTIQUE,"11.1705066, 122.083333"
BUKIDNON,"8.022778, 124.998611"
SURIGAO DEL SUR,"8.84, 126.15"
IFUGAO,"16.87, 121.22"
DAVAO OCCIDENTAL,"6.27, 125.6"
CAMARINES NORTE,"14.166667, 122.75"
NORTHERN SAMAR,"12.42, 124.81"
SARANGANI,"5.874722, 125.275278"
MASBATE,"12.166667, 123.583333"
AGUSAN DEL SUR,"8.36, 125.71"
QUIRINO,"16.283333, 121.583333"
GUIMARAS,"10.5730629, 122.6238907"
BASILAN,"6.5649821, 122.0649183"
APAYAO,"18.12, 121.19"
CATANDUANES,"13.833333, 124.25"
KALINGA,"17.46, 121.31"
ZAMBOANGA DEL NORTE,"8.0, 122.666667"
CITY OF ISABELA (NOT A PROVINCE),"['6.7029, 121.9690']"
SULU,"5.9942808, 121.0787926"
BILIRAN,"11.6, 124.49"
SOUTHERN LEYTE,"10.3475099, 125.1250896"
MOUNTAIN PROVINCE,"17.11, 121.16"
SORSOGON,"12.833333, 123.916667"
ZAMBOANGA SIBUGAY,"7.7877097, 122.5744217"
SIQUIJOR,"9.18, 123.58"
EASTERN SAMAR,"11.73, 125.37"
DINAGAT ISLANDS,"10.1577932, 125.5851827"
AURORA,"16.0474764, 121.6700916"
TAWI-TAWI,"5.2057, 120.0265"
BATANES,"20.6442465, 121.8939456"
